name,playtimes,retention_rate1,retention_rate2,retention_rate3,retention_rate4
【全文免费】都市仙王｜都市修仙&拯救末世｜ 精品双播,1132666,0.36009967568548296,0.19508198580273514,0.05028292472728097,0.0
天庭农庄,1025636,0.21019048830043097,0.1347175140478696,0.042429030189730786,0.0
寻觅修仙道,3480879,0.40056500447815063,0.2796109355992924,0.2202409066806878,0.038272592381351285
最强真仙,1236475,0.18973714254216034,0.07484499604076056,0.0331261667035913,0.012904894510384657
【百大计划参赛作品按要求暂停】道友请留步,720798,0.0,0.0,0.0,0.0
中华经典民间神话故事,1335292,0.0,0.0,0.0,0.0
天才名医 | 长篇免费都市小说，不太监,122013,0.0631440972968327,0.04125445872190468,0.011251020671279385,0.008706863208560746
【精品多播】剑之极|我有一剑破劫|玄幻|修仙,682079,0.23794262935639057,0.14839987859582207,0.13154668444712106,0.07069403518331314
打造人间仙朝|精品双播,285844,0.14034752488128538,0.021738600143108047,0.0,0.0
齐天逆圣,216009,0.1550874634738179,0.07526244738236149,0.0,0.0
谁说神仙不看书,1003019,0.26082327133761163,0.0,0.0,0.0
洪荒之证道不朽,1491097,0.12818770081110836,0.06367296958102898,0.004540216787728415,0.0
万倍返还系统,2303003,1.9723620973190725,3.500076488660556,8.206831712198667,0.0
篡命铜钱,522939,0.26287442651700005,0.15548162719746206,0.13022374457715788,0.10283777615033218
六道焚天（多人精品）,1319050,0.218773232307802,0.15128751540333832,0.11390195838807247,0.09245312802338253
冥河龙帝丨全文免费收听,5378795,0.6053662333501855,0.5145925206605365,0.4554140366508657,0.42352723286464405
【逍遥邪君】爆笑穿越成诗仙︱多人有声精品剧,172373,0.010085028333011035,0.0,0.0,0.0
长生庄主｜扮猪吃老虎,744333,0.17862094596773234,0.08447728418233748,0.0,0.0
在神话世界当小说家|多人有声剧,596344,0.28499618172318164,0.20067791160354229,0.11221714607253386,0.0
九夜杀丨凡人修仙传,1233901,0.3226308003502098,0.2306818524892069,0.1730727138242309,0.1406103764755608
师徒养成攻略,514339,0.4790954881786767,0.23507936198043772,0.16995958688819038,0.15388219675523712
超凡修仙记丨道友的道,9939381,0.4765381343918344,0.36845557944010743,0.29064066953055373,0.2524658948555085
洪荒小道童,1761399,0.5290517724524253,0.3963649728365716,0.30474015202507654,0.25011758145508106
绝色毒妃：皇叔放肆宠 | 王爷爆宠重生小毒妃,762143,0.23979993873316366,0.1117464708953628,0.08078745224365705,0.035873851969304926
仙界走私大鳄,1635167,0.3770270130380998,0.30404936776344055,0.2529036816198506,0.1816302024295689
寻仙路,372765,0.2698260029420213,0.17443662033128204,0.13956322299302792,0.03844647349134367
