name,playtimes,retention_rate1,retention_rate2,retention_rate3,retention_rate4
武动乾坤（上部）|紫襟故事,1336170589,0.7417023621218659,0.7040866808455601,0.6827604352737715,0.6489750948750882
重生之都市狂仙（主播：司徒）,1225306359,0.6353332975266501,0.5298443518673117,0.4903893978943138,0.44403261990269494
我当摸金校尉的那些年（紫襟故事）,1201328453,0.602228015494129,0.4481049042010972,0.3825535300424079,0.19838192146359637
小道士笔记【隐秘宗派玄术江湖】,1135466221,0.610273663933762,0.48128286971439665,0.4112762394717232,0.35545401402676535
我的老千生涯全集（付费版） | 有声的紫襟,1132289578,0.20040125206257886,0.21824390882026648,0.24810325379201567,0.2819983709289349
超级女婿｜韩三千&苏迎夏（幻樱空）又名: 豪婿,1095178340,0.7655224930889435,0.3825712501196451,0.312747282847224,0.27326803693633567
唐砖（尖儿播讲）|唐人的餐桌同作者孑与2|同名电视剧原著古装轻喜剧,1074291810,0.5886585381789092,0.47189947723971754,0.44370052239896635,0.41070060388720003
灵境行者丨卖报小郎君口碑新作丨紫襟领衔多人有声剧,1037193050,0.690272990760217,0.6001880306550382,0.550749869183143,0.5349980679888213
史上最强炼气期（尖儿播讲）,1019865512,0.5915267106590587,0.46361065964929604,0.4185634634687022,0.36868135107599603
史上最强赘婿｜无敌赘婿｜幻樱空演播,1003986352,0.7512140558862312,0.3494082905774423,0.31820763436693117,0.29064948587475486
大秦：不装了，你爹我是秦始皇丨全本免费丨爆笑穿越丨伍壹剧社多人有声剧|赵家继承人风云父亲唯一秦朝,997102268,0.714047785882834,0.6124088486691994,0.5431765117229072,0.48445147080026935
都市极品医神｜重生神将归来｜叶辰夏若雪｜VIP免费,977178885,0.6060406212918112,0.5271096333320374,0.47593497657559786,0.4176647366523101
明朝那些事儿(当年明月著 王更新播讲),956554646,0.3236132161051557,0.1449437727233321,0.0,0.0
官神 上部（呵壁问天演播）,942526767,0.6642067730016564,0.5570296073782289,0.531258247766908,0.4695549353930323
万古至尊（热血玄幻文）,921551771,0.6062779508326063,0.5221797672442791,0.46808992542124667,0.4033627845758561
【新民间剧场】寻龙天师丨盗墓礼官地府索命（摸金天师作者新作）阴间点名,919854277,0.40471269004040233,0.2903367515533735,0.24528282192001777,0.22547671944321315
我修的可能是假仙【牛大宝爆笑演播】,897344556,0.6840205572705719,0.2649739445216646,0.22743675228638668,0.20169852670325
侯卫东官场笔记,895789692,0.7822200921214274,0.7146214349831025,0.6712947414134599,0.6265441174025353
【新民间剧场】极品天师 | 都市玄幻 道士下山|鬼故事|阴阳先生|我当道士那些年|恐怖故事,857606221,0.5753924242107107,0.46509924198881564,0.4279038418397949,0.3971952612983198
黄金瞳（张艺兴主演同名影视原著）| 打眼,857637983,0.6293798774914784,0.5785663220754734,0.5415770041137618,0.4639938069660166
山海秘藏 | 盗墓护宝（有声的紫襟）,473629743,0.33797018389018496,0.15625311068618866,0.12964628405376147,0.11025017922244978
《校花的贴身高手》上 ｜很纯很暧昧已上线｜丸子演播,464326804,0.6649509798318204,0.5942861048112995,0.5274351109949108,0.49409489806465734
我师兄实在太稳健了丨动漫《师兄啊师兄》原著丨司徒小大大领衔演绎,463646735,0.6940418296111235,0.5045676617476833,0.43452994096619246,0.3706603506951944
当医生开了外挂｜都市多人有声剧｜一种侃侃｜VIP免费有声小说,461288896,0.6182766485736925,0.5496473814073665,0.49932427649434946,0.46273646731303675
【我滴神呀】我给孟婆当小弟（悬疑搞笑丨牛大宝&猫豆女）,459753788,0.536923654306328,0.46192762772736645,0.4237338445366393,0.4071749725140556
狂枭（主页黑道邪皇，精彩继续）,458052557,0.5105737667305925,0.44794259697800193,0.3941726893167861,0.3554666409273806
我的微信连三界 | 爆笑双播,454494543,0.6957326706052954,0.579631611851041,0.4722947311016837,0.3915314734154999
【新民间剧场】倒卖凶宅那几年/盗墓笔记凶宅篇|头陀渊,454339844,0.46013687534476067,0.31053970738846204,0.264119836034473,0.23731133347644578
凡人修仙传（上）| 同名动漫原著，桑梓演播,452370700,0.6130061852844341,0.583003563374819,0.5332020544252315,0.1449192072232892
《黄河古事》紫襟故事,447905421,0.3938209152498558,0.29573740927105135,0.23463898479177228,0.19476553388091872
盗墓手札丨有声的紫襟（盗墓笔记基友版）,445693365,0.4680952531771362,0.26212666167014004,0.20442759785381767,0.16993838354612764
